name,x,y
entrance,705,1060
n3,705,1040
n4,705,1020
n5,705,1000
n6,705,980
n7,705,960
n8,705,940
n9,705,920
n10,705,900
n11,705,880
n12,705,860
n13,705,840
n14,705,820
n15,705,800
n16,705,780
n17,705,760
n18,705,740
n19,705,720
n20,705,700
n21,705,680
n22,705,660
n23,705,640
n24,705,620
n25,705,600
n26,705,580
n27,705,560
n28,705,540
n29,705,520
n30,705,500
helpdesk,720,500
n32,700,500
n33,680,500
n34,660,500
n35,640,500
n36,620,500
n37,600,500
n38,580,500
n39,560,500
n40,540,500
n41,520,500
n42,500,500
n43,480,500
n44,460,500
n45,440,500
n46,420,500
n47,400,500
n48,380,500
n49,360,500
n50,670,920
n51,690,920
n52,710,920
n53,730,920
n54,750,920
n55,770,920
n56,790,920
n57,810,920
n58,830,920
n59,850,920
n60,870,920
n61,890,920
n62,910,920
n63,930,920
n64,950,920
n65,970,920
n66,740,580
n67,720,580
n68,700,580
n69,680,580
n70,660,580
n71,640,580
n72,620,580
n73,600,580
n74,580,580
n75,560,580
n76,540,580
n77,540,590
n78,540,570
n79,540,550
n80,540,530
n81,540,510
n82,540,490
n83,540,470
n84,540,450
n85,540,430
n86,540,410
n87,540,390
n88,540,370
n89,540,350
n90,540,330
n91,540,310
n92,540,290
n93,540,270
n94,540,250
n95,540,230
n96,540,210
n97,540,190
n98,540,170
n99,540,150
n100,540,130
n101,540,110
n102,540,90
n103,540,70
n104,540,50
n105,540,50
n106,560,50
n107,580,50
n108,600,50
n109,620,50
n110,640,50
n111,660,50
n112,680,50
n113,700,50
n114,720,50
n115,740,50
n116,760,50
n117,780,50
n118,800,50
n119,820,50
n120,840,50
n121,860,50
n122,880,50
n123,900,50
n124,920,50
n125,940,50
n126,960,50
n127,980,50
n128,1000,50
n129,1020,50
n130,1020,50
n131,1020,70
n132,1020,90
n133,1020,110
n134,1020,130
n135,1020,150
n136,1020,170
n137,790,870
n138,810,870
n139,830,870
n140,850,870
n141,850,850
n142,850,830
n143,850,810
n144,850,790
n145,850,770
n146,850,750
n147,850,730
n148,850,710
n149,830,710
n150,810,710
n151,790,710
n152,770,710
n153,750,710
n154,730,710
n155,710,710
n156,1020,170
n157,1040,170
n158,1060,170
n159,1080,170
n160,1100,170
n161,1120,170
n162,1140,170
n163,1160,170
n164,1180,170
n165,1200,170
n166,1220,170
n167,1240,170
n168,1260,170
n169,1280,170
n170,1300,170
n171,1320,170
n172,1340,170
n173,1360,170
n174,1380,170
n175,1400,170
n176,1420,170
n177,1440,170
n178,540,410
n179,560,410
n180,580,410
n181,600,410
n182,620,410
n183,1350,170
n184,1350,190
n185,1350,210
n186,1350,230
n187,1350,250
n188,1350,270
n189,1350,290
n190,1440,170
n191,1440,190
n192,1440,210
n193,1440,230
n194,1440,250
n195,1440,270
n196,1440,290
n197,1440,310
n198,1440,330
n199,1440,350
n200,1440,370
n201,1440,390
n202,1440,410
n203,1440,430
n204,1440,450
n205,1440,470
n206,1440,490
n207,1440,510
n208,1440,530
n209,1440,550
n210,1440,570
n211,1440,590
n212,1440,610
